Deutsche: dɔɪ̯tʃə
schwarz: ʃvaːrs
kurz: kuːrs
Zahl: ʦaːl
Klasse: klazə
Wind: vɪnt
Frage: fraːɡə
passieren: paziːrən
vollständig: fɔlstɛndɪç
Schiff: ʃɪf
Bereich: bəraɪ̯ç
Hälfte: hɛlftə
Stein: ʃtaɪ̯n
bestellen: bəstɛln̩
Feuer: fɔɪ̯ɐ
Süden: zydn̩
Problem: prɔblm̩
Stück: ʃtyːk
wusste: vʊstə
seit: zaɪ̯t
obere: oːbɛːrə
ganze: ɡaːnʦə
König: køːnɪç
Straße: ʃtraːsə
Zoll: ʦɔl
multiplizieren: mʊltɪpliːʦiːrən
nichts: nɪçts
Kurs: kuːɐ̯s
bleiben: blaɪ̯bn̩
Rad: raːt
voll: fɔl
Kraft: kraft
blau: blaʊ̯
Objekt: ɔbjɛkt
entscheiden: ɛntʃaɪ̯dn̩
Oberfläche: oːbɛːrflɛçə
tief: tiːf
Mond: mɔnt
Insel: ɪnzɛːl
Fuß: fuːs
System: zʏstm̩
beschäftigt: bəʃɛftɪkt
Prüfung: pryːfʊŋk
Rekord: rɛːkoːɐ̯t
Boot: boːt
gemeinsam: ɡəmaɪ̯nzaːm
goldenen: ɡɔldɛnn̩
möglich: mœɡlɪç
Flugzeug: fluːɡʦɔɪ̯k
statt: ʃtat
trocken: trokn̩
Wunder: vʊndɐ
Lachen: laxn̩
tausend: taʊ̯sn̩t
lief: liːf
überprüfen: yːbɛːrpryːfɛːn
Spiel: ʃpiːl
Form: foːɐ̯m
gleichsetzen: ɡlaɪ̯çzɛːʦɛːn
Fehl: feːl
gebracht: ɡəbraxt
Wärme: vɛːrmə
Schnee: ʃneː
Reifen: raɪ̯fɛːn
bringen: brɪŋn̩
ja: jaː
entfernt: ɛntfɛːrnt
füllen: fʏln̩
Osten: ɔstn̩
malen: maln̩
Sprache: ʃpraxə
Einheit: aɪ̯nhaɪ̯t
fein: faɪ̯n
fliegen: fliɡn̩
fallen: faln̩
führen: fyːrən
Schrei: ʃraɪ̯
dunkel: dʊŋkl̩
Maschine: maʃiːnə
note: noːtə
warten: vaːrtən
Plan: plaːn
Abbildung: aːbɪldʊŋk
Stern: ʃtɛːɐ̯n
Kasten: kastn̩
Nomen: nomn̩
Feld: fɛlt
Rest: rɛst
richtig: rɪçtɪç
fähig: fɛːɪç
Pfund: p͡fʊnt
getan: ɡətaːn
Schönheit: ʃøːnhaɪ̯t
Antriebs: antrips
stand: ʃtant
enthalten: ɛntaltn̩
Front: frɔnt
lehren: leːrən
Woche: vɔxə
Finale: fiːnaːlə
gab: ɡaːp
grün: ɡryːn
oh: oː
schnell: ʃnɛl
entwickeln: ɛntviːkɛln
Ozean: oːʦɛːaːn
warme: vaːrmə
kostenlos: kɔstɛnloːs
Minute: miːnuːtə
stark: ʃtaːɐ̯k
besondere: bəzɔndɛːrə
Geist: ɡaɪ̯st
hinter: hɪntɐ
klar: klaː
Schwanz: ʃvaːns
produzieren: proːduːʦiːrən
Tatsache: tatzaxə
Raum: raʊ̯m
gehört: ɡeːøːɐ̯t
beste: bəstə
Stunde: ʃtʊndə
besser: bəsɐ
wahr: vaː
hundert: hʊndɛːɐ̯t
fünf: fʏnf
merken: mɛːrkən
Schritt: ʃrɪt
früh: fryː
Westen: vɛstn̩
Boden: bodn̩
Interesse: ɪntɛːrɛzə
erreichen: ɛraɪ̯çn̩
Verbum: fɛːrbʊm
singen: zɪŋn̩
sechs: zɛçs
Tabelle: taːbɛlə
Reise: raɪ̯zə
weniger: vɛːniːɡɐ
Morgen: moːrɡən
zehn: ʦeːn
einfach: aɪ̯nfax
mehrere: meːrɛːrə
Vokal: foːkaːl
Krieg: kriːk
legen: lɛɡn̩
gegen: ɡəɡn̩
Muster: mʊstɐ
schleppend: ʃlɛpn̩t
Zentrum: ʦɛntrʊm
Liebe: liːbə
Person: pɛːrzoːn
Geld: ɡəlt
dienen: dinn̩
erscheinen: ɛɐ̯ʃaɪ̯nn̩
Karte: kaːrtə
regen: rɛɡn̩
Regel: rɛɡl̩
regieren: rɛːɡiːrən
Kälte: kɛltə
Hinweis: hɪnvaɪ̯s
Stimme: ʃtɪmə
Energie: ɛːnɛːrɡiː
Jagd: jakt
wahrscheinlich: vaːrʃaɪ̯nlɪç
Bett: bət
Bruder: bruːdɐ
Ei: aɪ̯
Fahrt: faːɐ̯t
Zelle: ʦɛlə
glauben: ɡlaʊ̯bn̩
vielleicht: fiːlaɪ̯çt
pflücken: p͡flykn̩
plötzlich: plœʦlɪç
zählen: ʦɛːhlən
Platz: plaːʦ
Grund: ɡrʊnt
Dauer: daʊ̯ɐ
vertreten: fɛːrtrɛtn̩
Kunst: kʊnst
Thema: tɛːmaː
Region: rɛːɡiːoːn
Größe: ɡrøːsə
variieren: faːriːiːrən
regeln: rɛːɡɛln
sprechen: ʃprɛçn̩
Gewicht: ɡjuːɪçt
allgemein: alɡɛːmaɪ̯n
Eis: aɪ̯s
Materie: maːtɛːriː
Kreis: kraɪ̯s
Paar: paː
umfassen: ʊmfazɛːn
Kluft: klʊft
Silbe: zɪlbə
Filz: fiːls
Kugel: kuɡl̩
Welle: vɛlə
Herz: hɛːrs
Uhr: uːhr
vorhanden: foːrhandn̩
Tanz: taːns
Motor: moːtoːɐ̯
Position: poːziːtiːoːn
Arm: aːɐ̯m
breit: braɪ̯t
Segel: zɛɡl̩
Material: maːtɛːriːaːl
Fraktion: fraktiːoːn
Wald: valt
sitzen: ziːʦɛːn
Rennen: rɛnn̩
Fenster: fɛnstɐ
Speicher: ʃpaɪ̯çɐ
Sommer: zɔmɐ
Zug: ʦʊk
Schlaf: ʃlaːf
beweisen: bjuːaɪ̯zɛːn
einsam: aɪ̯nzaːm
Bein: baɪ̯n
Übung: yːbʊŋk
Wand: vant
Fang: faŋk
Berg: bəɐ̯k
wünschen: vynʃɛːn
Himmel: hɪml̩
Board: boːaɐ̯t
Freude: frɔɪ̯də
Winter: vɪntɐ
sa: zaː
geschrieben: ɡəʃribn̩
wilden: vɪldn̩
Instrument: ɪnstruːmɛnt
gehalten: ɡeːaltn̩
Glas: ɡlaːs
Gras: ɡraːs
Kuh: kuːh
Rand: rant
Zeichen: ʦaɪ̯çn̩
Besuch: bəzʊx
Vergangenheit: fɛːrɡaŋɛːnhaɪ̯t
weich: vaɪ̯ç
Spaß: ʃpaːs
hell: hɛl
Gases: ɡaːzɛːs
Wetter: vɛtɐ
Monat: moːnaːt
Million: mɪliːoːn
Finish: fiːniːsh
glücklich: ɡlʏklɪç
hoffen: hɔfɛːn
blume: bluːmə
kleiden: klaɪ̯dn̩
seltsam: zɛltzaːm
Vorbei: foːrbaɪ̯
Handel: handl̩
Melodie: mɛːloːdiː
Büro: byːroː
empfangen: ɛmp͡faŋn̩
Reihe: raɪ̯ə
Mund: mʊnt
genau: ɡənaʊ̯
sterben: ʃtɛːrbən
am wenigsten: aːm vɛːnɪɡstn̩
Ärger: ɛɐ̯ɡɐ
außer: aʊ̯sɐ
schrieb: ʃriːp
Samen: zamn̩
Ton: toːn
beitreten: baɪ̯trɛtn̩
vorschlagen: foːrʃlaɡn̩
sauber: zaʊ̯bɐ
Pause: paʊ̯zə
Dame: daːmə
Hof: hoːf
steigen: ʃtaɪ̯ɡn̩
schlecht: ʃlɛçt
Schlag: ʃlaːk
Öl: øːl
Blut: blʊt
berühren: bəryːrən
wuchs: vʊks
Cent: sɛnt
mischen: mɪʃɛːn
Mannschaft: manʃaft
Draht: draːt
Kosten: kɔstn̩
verloren: fɛːrloːrən
braun: braʊ̯n
Garten: ɡaːrtən
gesendet: ɡəzɛndɛːt
wählen: vɛːhlən
fiel: fiːl
passen: pazɛːn
fließen: fliːsɛːn
Messe: mɛzə
Bank: baŋk
sammeln: zamɛln
sparen: ʃpaːrən
Kontrolle: kɔntrɔlə
dezimal: dɛːʦiːmaːl
Ohr: oːɐ̯
sonst: zɔnst
ganz: ɡaːns
pleite: plaɪ̯tə
Fall: fal
Mitte: mɪtə
töten: tøtn̩
Sohn: zoːn
See: zeː
Moment: moːmɛnt
Maßstab: maːsstaːp
laut: laʊ̯t
Frühling: fryːlɪŋk
Kind: kɪnt
gerade: ɡəraːdə
Konsonant: kɔnzoːnant
Nation: naːtiːoːn
Wörterbuch: vøːrtɛːrbʊx
milch: milx
Geschwindigkeit: ɡəʃvɪndɪɡkaɪ̯t
Verfahren: fɛːrfaːrən
Orgel: oːrɡəl
zahlen: ʦaln̩
Alter: altɐ
Abschnitt: abʃnɪt
Kleid: klaɪ̯t
Wolke: vɔlkə
Überraschung: yːbɛraʃʊŋk
ruhig: ruːɪç
winzig: viːnʦɪç
Aufstieg: aʊ̯fstiːk
kühlen: kyln̩
Entwurf: ɛntvuːɐ̯f
arm: aːɐ̯m
Menge: mɛŋə
Versuch: fɛːrzʊx
Schlüssel: ʃlʏzɛːl
Eisen: aɪ̯zɛːn
Einzel: aɪ̯nʦɛːl
Stick: ʃtiːk
Wohnung: voːnʊŋk
zwanzig: ʦvaːnʦɪç
Haut: haʊ̯t
Lächeln: lɛçɛln
Falte: faltə
Loch: lɔx
springen: ʃprɪŋn̩
acht: axt
Dorf: doːɐ̯f
treffen: trɛfɛːn
Wurzel: vuːrʦɛːl
kaufen: kaʊ̯fɛːn
erhöhen: ɛɐ̯høːən
lösen: løːzɛːn
Metall: mɛːtal
ob: oːp
drücken: drykn̩
sieben: zibn̩
Absatz: abzaːʦ
dritte: drɪtə
wird: viːɐ̯t
Hand: hant
Haar: haː
beschreiben: bəʃraɪ̯bn̩
Koch: kɔx
entweder: ɛntvɛːdɐ
Ergebnis: ɛɐ̯ɡɛbniːs
brennen: brɛnn̩
Hügel: hyɡl̩
Katze: kaːʦə
Jahrhundert: jaːrhʊndɛːɐ̯t
betrachten: bətraxtn̩
Typ: tyːp
Gesetz: ɡəzɛːʦ
Bit: biːt
Küste: kʏstə
Kopie: koːpiː
Ausdruck: aʊ̯sdrʊk
still: ʃtɪl
Sand: zant
Rolle: rɔlə
Temperatur: tɛmpɛːraːtuːɐ̯
Finger: fɪŋɐ
Industrie: ɪndʊstriː
Wert: vɛːɐ̯t
Kampf: kamp͡f
Lüge: lyːɡə
schlagen: ʃlaɡn̩
begeistern: bəɡaɪ̯stɛːɐ̯n
natürlich: naːtyːrlɪç
Blick: bliːk
Sinn: zɪn
Hauptstadt: haʊ̯ptstaːt
wird nicht: viːrd nɪçt
Stuhl: ʃtuːhl
Achtung: axtʊŋk
Obst: ɔbst
reich: raɪ̯ç
dick: diːk
Soldat: zɔldaːt
Prozess: proːʦɛs
betreiben: bətraɪ̯bn̩
Praxis: praksiːs
trennen: trɛnn̩
schwierig: ʃviːrɪç
Arzt: aːrʦt
Bitte: bɪtə
schützen: ʃyːʦɛːn
Mittag: mɪtaːk
Ernte: ɛɐ̯ntə
modernen: moːdɛːrnən
Elementes: ɛːlɛːmɛntɛːs
Schüler: ʃyːlɐ
Ecke: ɛːkə
Partei: paːrtaɪ̯
Versorgung: fɛːrzoːrɡŋk
deren: dɛːrən
lokalisieren: loːkaːliːziːrən
Rings: rɪŋks
Charakter: xaːraktɐ
insekt: ɪnzɛkt
gefangen: ɡəfaŋn̩
Funk: fʊŋk
Speiche: ʃpaɪ̯çə
Atom: aːtoːm
Mensch: mɛnʃ
Wirkung: viːrkʊŋk
elektrisch: ɛːlɛktrɪʃ
erwarten: ɛɐ̯vaːrtən
Knochen: knɔxn̩
Schiene: ʃiːnə
vorstellen: foːrstɛln̩
bieten: bitn̩
zustimmen: ʦʊstɪmn̩
sanft: zanft
Frau: fraʊ̯
Kapitän: kaːpiːtɛn
erraten: ɛratn̩
erforderlich: ɛɐ̯foːrdɛːrlɪç
scharf: ʃaːɐ̯f
Flügel: flyɡl̩
schaffen: ʃafɛːn
Nachbar: naxbaː
Wasch: vaʃ
Fledermaus: flɛːdɛːrmaʊ̯s
eher: eːɐ
mais: maɪ̯s
vergleichen: fɛːrɡlaɪ̯çn̩
Gedicht: ɡədɪçt
Schnur: ʃnuːɐ̯
Glocke: ɡloːkə
abhängen: aːbhɛŋn̩
Fleisch: flaɪ̯ʃ
einreiben: aɪ̯nraɪ̯bn̩
Rohr: roːɐ̯
berühmt: bərymt
Dollar: dɔlaː
Strom: ʃtroːm
Angst: aŋst
dünn: dʏn
Dreieck: draɪ̯ɛːk
Eile: aɪ̯lə
Chef: xɛːf
Kolonie: koːloːniː
Mine: miːnə
Krawatte: kraːvatə
eingeben: aɪ̯ŋɛbn̩
Dur: duːɐ̯
frisch: frɪʃ
Suche: zʊxə
senden: zɛndn̩
gelb: ɡəlp
Pistole: pɪstoːlə
erlauben: ɛɐ̯laʊ̯bn̩
Druck: drʊk
tot: toːt
Stelle: ʃtɛlə
Wüste: vʏstə
Anzug: aːnʦʊk
Aufzug: aʊ̯fʦʊk
stiegen: ʃtiɡn̩
ankommen: aŋkɔmn̩
Stamm: ʃtam
Spur: ʃpuːɐ̯
Elternteil: ɛltɛːrntaɪ̯l
Ufer: uːfɐ
Teilung: taɪ̯lʊŋk
Blatt: blat
Substanz: zʊbstaːns
begünstigen: bəɡ̈nstiɡn̩
verbinden: fɛːrbɪndn̩
verbringen: fɛːrbrɪŋn̩
Akkord: akoːɐ̯t
Fett: fɛt
froh: froː
Original: oːriːɡiːnaːl
Aktie: aktiː
Station: ʃtaːtiːoːn
Papa: paːpaː
Brot: broːt
aufladen: aʊ̯fladn̩
Leiste: laɪ̯stə
Angebot: aŋɛːboːt
Segment: zɛɡmɛnt
Sklave: zklaːfə
ente: ɛntə
Augenblick: aʊ̯ɡɛnbliːk
Markt: maːrkt
Grad: ɡraːt
besiedeln: bəziːdɛln
küken: kykn̩
liebe: liːbə
Feind: faɪ̯nt
antworten: antvoːrtən
Getränk: ɡətrɛŋk
auftreten: aʊ̯ftrɛtn̩
Unterstützung: ʊntɛːrstyːʦʊŋk
Rede: rɛːdə
Natur: naːtuːɐ̯
Dampf: damp͡f
Bewegung: bjuːɛɡŋk
Flüssigkeit: flʏzɪɡkaɪ̯t
protokollieren: proːtoːkɔliːrən
gemeint: ɡəmaɪ̯nt
Quotient: kvoːtint
Gebiss: ɡəbɪs
Schale: ʃaːlə
Hals: hals
Sauerstoff: zaʊ̯ɛːrstɔf
Zucker: ʦuːkɐ
Tod: toːt
ziemlich: ʦimlɪç
Geschicklichkeit: ɡəʃɪklɪçkaɪ̯t
Frauen: fraʊ̯ən
Saison: zaɪ̯zoːn
Lösung: løːzʊŋk
Magnet: manjɛːt
Silber: zɪlbɐ
danken: daŋkn̩
Zweig: ʦvaɪ̯k
Suffix: zʊfɪks
insbesondere: ɪnsbɛːzɔndɛːrə
Feige: faɪ̯ɡə
ängstlich: ɛŋstlɪç
riesig: riːzɪç
Schwester: ʃvɛstɐ
Stahl: ʃtaːl
diskutieren: dɪskuːtiːrən
vorwärts: foːrvɛːrts
ähnlich: ɛːhnlɪç
Erfahrung: ɛɐ̯faːrʊŋk
Partitur: paːrtiːtuːɐ̯
apfel: ap͡fɛːl
gekauft: ɡəkaʊ̯ft
geführt: ɡəfyːɐ̯t
Tonhöhe: toːnhøːə
Mantel: mantl̩
Masse: mazə
Band: bant
Seil: zaɪ̯l
Rutsch: rutʃ
gewinnen: ɡjuːɪnn̩
träumen: trɔɪ̯mən
Abend: abn̩t
Futtermittel: fʊtɛːrmɪtl̩
Werkzeug: vɛːrkʦɔɪ̯k
gesamt: ɡəzamt
Geruch: ɡərʊx
Tal: taːl
doppelt: dɔpɛlt
Sitz: ziːʦ
fortsetzen: foːrtzɛːʦɛːn
Block: bloːk
Hut: hʊt
verkaufen: fɛːrkaʊ̯fɛːn
Erfolg: ɛɐ̯fɔlk
Firma: fiːrmaː
subtrahieren: zʊbtraːiːrən
Veranstaltung: fɛːranstaltʊŋk
schwimmen: ʃvɪmn̩
Begriff: bəɡrɪf
Gegenteil: ɡəɡɛntaɪ̯l
Schuh: ʃuːh
Schulter: ʃʊltɐ
Verbreitung: fɛːrbraɪ̯tʊŋk
arrangieren: araŋiːrən
Lager: laːɡɐ
erfinden: ɛɐ̯fɪndn̩
Baumwolle: baʊ̯mvɔlə
geboren: ɡəboːrən
bestimmen: bəstɪmn̩
Quart: kvaːɐ̯t
neun: nɔɪ̯n
Lastwagen: lastvaɡn̩
Lärm: lɛːɐ̯m
Chance: xaːŋkə
Geschäft: ɡəʃɛft
Stretch: ʃtrɛːʧ
werfen: vɛːrfɛːn
Glanz: ɡlaːns
Immobilien: ɪmoːbiːliːn
Spalte: ʃpaltə
Molekül: moːlɛːkyːl
falsch: falʃ
grau: ɡraʊ̯
Wiederholung: viːdɛːrhoːlʊŋk
erfordern: ɛɐ̯foːrdɛːɐ̯n
vorbereiten: foːrbɛːraɪ̯tn̩
Salz: zaːls
Nase: naːzə
mehreren: meːrɛːrən
Zorn: ʦoːɐ̯n
Anspruch: ansprʊx
Kontinent: kɔntiːnɛnt
